L1	L21	dst	top 30 probe index
0.600000	0.800000	0.000000	1215	1117	2279	11	1004	3653	2281	292	10	559	1615	1118	3182	1867	1961	856	1802	3183	1621	3621	316	1617	1269	558	1020	2160	3425	1124	2690	3204
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	60.040984	53.319920	0.210884	1.000000	0.533199	0.131356	0.534483	0.103448	0.896552	0.131356
2	65.778689	59.356137	0.509709	1.000000	0.593561	0.444915	0.596591	0.272031	0.727969	0.444915
3	67.418033	58.953722	0.433333	1.000000	0.589537	0.330508	0.629032	0.176245	0.823755	0.330508
4	70.081967	63.179074	0.634731	1.000000	0.631791	0.673729	0.600000	0.406130	0.593870	0.673729
5	71.926230	63.581489	0.635815	1.000000	0.635815	0.669492	0.605364	0.394636	0.605364	0.669492
6	72.131148	58.350101	0.652101	1.000000	0.583501	0.822034	0.540390	0.632184	0.367816	0.822034
7	71.721311	60.563380	0.660900	1.000000	0.605634	0.809322	0.558480	0.578544	0.421456	0.809322
8	72.336066	60.160966	0.657439	1.000000	0.601610	0.805085	0.555556	0.582375	0.417625	0.805085
9	72.745902	59.154930	0.661102	1.000000	0.591549	0.838983	0.545455	0.632184	0.367816	0.838983
10	71.926230	59.557344	0.655232	1.000000	0.595573	0.809322	0.550432	0.597701	0.402299	0.809322
11	73.565574	56.941650	0.668731	1.000000	0.569416	0.915254	0.526829	0.743295	0.256705	0.915254
12	73.360656	63.983903	0.678636	1.000000	0.639839	0.800847	0.588785	0.505747	0.494253	0.800847
13	73.975410	55.130785	0.666667	1.000000	0.551308	0.944915	0.515012	0.804598	0.195402	0.944915
14	73.975410	60.160966	0.680645	1.000000	0.601610	0.894068	0.549479	0.662835	0.337165	0.894068
15	73.770492	59.557344	0.683465	1.000000	0.595573	0.919492	0.543860	0.697318	0.302682	0.919492
16	73.565574	64.386318	0.681081	1.000000	0.643863	0.800847	0.592476	0.498084	0.501916	0.800847
17	74.590164	51.106640	0.644217	1.000000	0.511066	0.932203	0.492170	0.869732	0.130268	0.932203
18	73.770492	54.728370	0.663677	1.000000	0.547284	0.940678	0.512702	0.808429	0.191571	0.940678
19	75.614754	48.088531	0.640669	1.000000	0.480885	0.974576	0.477178	0.965517	0.034483	0.974576
20	76.639344	49.295775	0.644068	1.000000	0.492958	0.966102	0.483051	0.934866	0.065134	0.966102
21	76.024590	50.503018	0.649573	1.000000	0.505030	0.966102	0.489270	0.911877	0.088123	0.966102
22	75.819672	49.899396	0.647808	1.000000	0.498994	0.970339	0.486200	0.927203	0.072797	0.970339
23	75.204918	49.496982	0.646976	1.000000	0.494970	0.974576	0.484211	0.938697	0.061303	0.974576
24	76.229508	50.905433	0.650430	1.000000	0.509054	0.961864	0.491342	0.900383	0.099617	0.961864
25	78.073770	52.917505	0.659884	1.000000	0.529175	0.961864	0.502212	0.862069	0.137931	0.961864
26	77.663934	52.112676	0.656069	1.000000	0.521127	0.961864	0.497807	0.877395	0.122605	0.961864
27	77.459016	52.716298	0.657933	1.000000	0.527163	0.957627	0.501109	0.862069	0.137931	0.957627
28	77.459016	54.124748	0.662722	1.000000	0.541247	0.949153	0.509091	0.827586	0.172414	0.949153
29	80.122951	55.533199	0.656299	1.000000	0.555332	0.894068	0.518428	0.750958	0.249042	0.894068
30	80.327869	56.740443	0.662480	1.000000	0.567404	0.894068	0.526185	0.727969	0.272031	0.894068
30	80.327869	56.740443	max_train_acc
