L1	L21	dst	top 30 probe index
1.000000	0.800000	0.200000	75	66	77	64	78	69	67	79	88	56	57	118	55	116	58	72	53	119	113	120	121	122	28	112	50	4759	125	3621	127	2141
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	67.418033	56.740443	0.280936	1.000000	0.567404	0.177966	0.666667	0.080460	0.919540	0.177966
2	67.418033	58.148893	0.388235	1.000000	0.581489	0.279661	0.634615	0.145594	0.854406	0.279661
3	68.032787	58.148893	0.361963	1.000000	0.581489	0.250000	0.655556	0.118774	0.881226	0.250000
4	67.622951	58.953722	0.479592	1.000000	0.589537	0.398305	0.602564	0.237548	0.762452	0.398305
5	67.827869	58.953722	0.430168	1.000000	0.589537	0.326271	0.631148	0.172414	0.827586	0.326271
6	67.418033	59.154930	0.446866	1.000000	0.591549	0.347458	0.625954	0.187739	0.812261	0.347458
7	67.213115	59.154930	0.452830	1.000000	0.591549	0.355932	0.622222	0.195402	0.804598	0.355932
8	67.008197	59.356137	0.402367	1.000000	0.593561	0.288136	0.666667	0.130268	0.869732	0.288136
9	67.008197	58.752515	0.467532	1.000000	0.587525	0.381356	0.604027	0.226054	0.773946	0.381356
10	67.213115	61.770624	0.541063	1.000000	0.617706	0.474576	0.629213	0.252874	0.747126	0.474576
11	67.827869	58.551308	0.394118	1.000000	0.585513	0.283898	0.644231	0.141762	0.858238	0.283898
12	68.647541	62.173038	0.480663	1.000000	0.621730	0.368644	0.690476	0.149425	0.850575	0.368644
13	68.237705	60.160966	0.400000	1.000000	0.601610	0.279661	0.702128	0.107280	0.892720	0.279661
14	68.032787	59.557344	0.361905	1.000000	0.595573	0.241525	0.721519	0.084291	0.915709	0.241525
15	68.442623	59.356137	0.412791	1.000000	0.593561	0.300847	0.657407	0.141762	0.858238	0.300847
16	68.852459	52.716298	0.545455	1.000000	0.527163	0.597458	0.501779	0.536398	0.463602	0.597458
17	69.057377	58.953722	0.350318	1.000000	0.589537	0.233051	0.705128	0.088123	0.911877	0.233051
18	69.057377	58.551308	0.339744	1.000000	0.585513	0.224576	0.697368	0.088123	0.911877	0.224576
19	70.696721	59.154930	0.367601	1.000000	0.591549	0.250000	0.694118	0.099617	0.900383	0.250000
20	70.491803	59.356137	0.364780	1.000000	0.593561	0.245763	0.707317	0.091954	0.908046	0.245763
21	69.467213	58.551308	0.322368	1.000000	0.585513	0.207627	0.720588	0.072797	0.927203	0.207627
22	70.081967	56.338028	0.274247	1.000000	0.563380	0.173729	0.650794	0.084291	0.915709	0.173729
23	69.057377	59.356137	0.352564	1.000000	0.593561	0.233051	0.723684	0.080460	0.919540	0.233051
24	68.852459	56.941650	0.305195	1.000000	0.569416	0.199153	0.652778	0.095785	0.904215	0.199153
25	69.057377	57.947686	0.327974	1.000000	0.579477	0.216102	0.680000	0.091954	0.908046	0.216102
26	68.442623	57.545272	0.308197	1.000000	0.575453	0.199153	0.681159	0.084291	0.915709	0.199153
27	68.647541	58.752515	0.398827	1.000000	0.587525	0.288136	0.647619	0.141762	0.858238	0.288136
28	70.901639	57.947686	0.360856	1.000000	0.579477	0.250000	0.648352	0.122605	0.877395	0.250000
29	72.336066	58.148893	0.315789	1.000000	0.581489	0.203390	0.705882	0.076628	0.923372	0.203390
30	72.336066	58.350101	0.338658	1.000000	0.583501	0.224576	0.688312	0.091954	0.908046	0.224576
29	72.336066	58.148893	max_train_acc
