L1	L21	dst	top 30 probe index
1.000000	1.000000	0.400000	829	857	761	673	831	712	911	1016	1018	760	1017	762	801	1020	1271	830	428	1310	1004	445	558	672	1272	1309	912	444	1083	1339	4759	855
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	58.401600	53.118712	0.427518	1.000000	0.531187	0.368644	0.508772	0.321839	0.678161	0.368644
2	56.967200	49.094567	0.283286	1.000000	0.490946	0.211864	0.427350	0.256705	0.743295	0.211864
3	57.991800	53.118712	0.438554	1.000000	0.531187	0.385593	0.508380	0.337165	0.662835	0.385593
4	59.426200	52.716298	0.428224	1.000000	0.527163	0.372881	0.502857	0.333333	0.666667	0.372881
5	58.811500	55.935614	0.459259	1.000000	0.559356	0.394068	0.550296	0.291188	0.708812	0.394068
6	58.401600	50.905433	0.515873	1.000000	0.509054	0.550847	0.485075	0.528736	0.471264	0.550847
7	58.606600	53.521127	0.377358	1.000000	0.535211	0.296610	0.518519	0.249042	0.750958	0.296610
8	58.606600	49.094567	0.525328	1.000000	0.490946	0.593220	0.471380	0.601533	0.398467	0.593220
9	59.836100	49.094567	0.516252	1.000000	0.490946	0.572034	0.470383	0.582375	0.417625	0.572034
10	60.450800	45.875252	0.538593	1.000000	0.458753	0.665254	0.452450	0.727969	0.272031	0.665254
11	61.270500	47.082495	0.531194	1.000000	0.470825	0.631356	0.458462	0.674330	0.325670	0.631356
12	63.524600	48.088531	0.513208	1.000000	0.480885	0.576271	0.462585	0.605364	0.394636	0.576271
13	63.114800	49.295775	0.487805	1.000000	0.492958	0.508475	0.468750	0.521073	0.478927	0.508475
14	67.008200	53.521127	0.513684	1.000000	0.535211	0.516949	0.510460	0.448276	0.551724	0.516949
15	69.467200	54.728370	0.477958	1.000000	0.547284	0.436441	0.528205	0.352490	0.647510	0.436441
16	67.827900	51.911469	0.488223	1.000000	0.519115	0.483051	0.493506	0.448276	0.551724	0.483051
17	67.623000	51.911469	0.534113	1.000000	0.519115	0.580508	0.494585	0.536398	0.463602	0.580508
18	71.106600	57.746479	0.555085	1.000000	0.577465	0.555085	0.555085	0.402299	0.597701	0.555085
19	72.336100	53.923541	0.587387	1.000000	0.539235	0.690678	0.510972	0.597701	0.402299	0.690678
20	72.745900	52.917505	0.592334	1.000000	0.529175	0.720339	0.502959	0.643678	0.356322	0.720339
21	74.180300	54.325956	0.627258	1.000000	0.543260	0.809322	0.512064	0.697318	0.302682	0.809322
22	73.975400	54.124748	0.627451	1.000000	0.541247	0.813559	0.510638	0.704981	0.295019	0.813559
23	73.770500	55.533199	0.627319	1.000000	0.555332	0.788136	0.521008	0.655172	0.344828	0.788136
24	75.000000	55.331992	0.632450	1.000000	0.553320	0.809322	0.519022	0.678161	0.321839	0.809322
25	73.770500	55.533199	0.634711	1.000000	0.555332	0.813559	0.520325	0.678161	0.321839	0.813559
26	73.770500	53.118712	0.614876	1.000000	0.531187	0.788136	0.504065	0.701149	0.298851	0.788136
27	73.565600	53.722334	0.619205	1.000000	0.537223	0.792373	0.508152	0.693487	0.306513	0.792373
28	73.360700	53.923541	0.613828	1.000000	0.539235	0.771186	0.509804	0.670498	0.329502	0.771186
29	73.155700	52.917505	0.618893	1.000000	0.529175	0.805085	0.502646	0.720307	0.279693	0.805085
30	74.590200	52.112676	0.617363	1.000000	0.521127	0.813559	0.497409	0.743295	0.256705	0.813559
24	75.000000	55.331992	max_train_acc
