L1	L21	dst	top 30 probe index
0.200000	0.000000	0.200000	10	11	12	15	14	18	13	19	20	316	292	1117	4179	426	856	4759	2141	1215	3024	3621	1004	4144	213	1961	2279	2711	4415	2618	3425	508
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	55.327900	44.064386	0.550162	1.000000	0.440644	0.720339	0.445026	0.812261	0.187739	0.720339
2	56.557400	45.674044	0.571429	1.000000	0.456740	0.762712	0.456853	0.819923	0.180077	0.762712
3	60.450800	49.698189	0.622356	1.000000	0.496982	0.872881	0.483568	0.842912	0.157088	0.872881
4	60.245900	48.490946	0.624633	1.000000	0.484909	0.902542	0.477578	0.892720	0.107280	0.902542
5	60.245900	41.046278	0.419802	1.000000	0.410463	0.449153	0.394052	0.624521	0.375479	0.449153
6	60.860700	50.503018	0.185430	1.000000	0.505030	0.118644	0.424242	0.145594	0.854406	0.118644
7	61.680300	42.655936	0.379085	1.000000	0.426559	0.368644	0.390135	0.521073	0.478927	0.368644
8	61.270500	54.325956	0.603839	1.000000	0.543260	0.733051	0.513353	0.628352	0.371648	0.733051
9	62.500000	55.734406	0.547325	1.000000	0.557344	0.563559	0.532000	0.448276	0.551724	0.563559
10	63.934400	58.350101	0.423398	1.000000	0.583501	0.322034	0.617886	0.180077	0.819923	0.322034
11	65.368900	57.142857	0.626970	1.000000	0.571429	0.758475	0.534328	0.597701	0.402299	0.758475
12	69.672100	58.752515	0.597250	1.000000	0.587525	0.644068	0.556777	0.463602	0.536398	0.644068
13	69.262300	55.734406	0.566929	1.000000	0.557344	0.610169	0.529412	0.490421	0.509579	0.610169
14	68.852500	56.740443	0.585742	1.000000	0.567404	0.644068	0.537102	0.501916	0.498084	0.644068
15	69.262300	57.947686	0.401146	1.000000	0.579477	0.296610	0.619469	0.164751	0.835249	0.296610
16	68.647500	58.953722	0.585366	1.000000	0.589537	0.610169	0.562500	0.429119	0.570881	0.610169
17	69.057400	57.545272	0.593449	1.000000	0.575453	0.652542	0.544170	0.494253	0.505747	0.652542
18	70.901600	55.734406	0.576923	1.000000	0.557344	0.635593	0.528169	0.513410	0.486590	0.635593
19	72.131100	56.539235	0.578125	1.000000	0.565392	0.627119	0.536232	0.490421	0.509579	0.627119
20	70.082000	59.959759	0.575693	1.000000	0.599598	0.572034	0.579399	0.375479	0.624521	0.572034
21	72.131100	56.941650	0.590038	1.000000	0.569416	0.652542	0.538462	0.505747	0.494253	0.652542
22	73.155700	58.953722	0.560345	1.000000	0.589537	0.550847	0.570175	0.375479	0.624521	0.550847
23	73.360700	57.947686	0.563674	1.000000	0.579477	0.572034	0.555556	0.413793	0.586207	0.572034
24	73.155700	59.557344	0.583851	1.000000	0.595573	0.597458	0.570850	0.406130	0.593870	0.597458
25	73.155700	59.758551	0.570815	1.000000	0.597586	0.563559	0.578261	0.371648	0.628352	0.563559
26	72.745900	60.362173	0.523002	1.000000	0.603622	0.457627	0.610169	0.264368	0.735632	0.457627
27	73.565600	61.770624	0.594017	1.000000	0.617706	0.588983	0.599138	0.356322	0.643678	0.588983
28	73.565600	60.362173	0.570806	1.000000	0.603622	0.555085	0.587444	0.352490	0.647510	0.555085
29	74.180300	61.167002	0.566292	1.000000	0.611670	0.533898	0.602871	0.318008	0.681992	0.533898
30	73.975400	62.374245	0.572082	1.000000	0.623742	0.529661	0.621891	0.291188	0.708812	0.529661
29	74.180300	61.167002	max_train_acc
