L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2894	154	19	20	1532	164	1093	24	252	2541	33	2175	2686	2880	12	2486	1389	1286	2687	22	1524	624	1184	429	1819	484	2628	1390	1259
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	50.778500	53.103448	0.683962	1.000000	0.537931	0.895062	0.553435	0.914063	0.085938	0.895062
2	50.259500	52.413793	0.676259	1.000000	0.534483	0.870370	0.552941	0.890625	0.109375	0.870370
3	51.989600	53.793103	0.685851	1.000000	0.548276	0.882716	0.560784	0.875000	0.125000	0.882716
4	53.806200	52.758621	0.664935	1.000000	0.555172	0.790123	0.573991	0.742188	0.257813	0.790123
5	53.460200	52.413793	0.673522	1.000000	0.562069	0.808642	0.577093	0.750000	0.250000	0.808642
6	54.498300	51.724138	0.649718	1.000000	0.572414	0.709877	0.598958	0.601563	0.398438	0.709877
7	56.920400	52.758621	0.664908	1.000000	0.562069	0.777778	0.580645	0.710938	0.289063	0.777778
8	59.342600	55.517241	0.689474	1.000000	0.593103	0.808642	0.600917	0.679688	0.320313	0.808642
9	58.996500	57.931034	0.710660	1.000000	0.606897	0.864198	0.603448	0.718750	0.281250	0.864198
10	62.629800	61.724138	0.743142	1.000000	0.644828	0.919753	0.623431	0.703125	0.296875	0.919753
11	62.889300	62.068966	0.745763	1.000000	0.637931	0.950617	0.613546	0.757813	0.242188	0.950617
12	63.148800	61.034483	0.738095	1.000000	0.620690	0.956790	0.600775	0.804688	0.195313	0.956790
13	64.705900	61.034483	0.720867	1.000000	0.644828	0.820988	0.642512	0.578125	0.421875	0.820988
14	68.771600	64.827586	0.741935	1.000000	0.668966	0.851852	0.657143	0.562500	0.437500	0.851852
15	69.636700	66.551724	0.757333	1.000000	0.686207	0.876543	0.666667	0.554688	0.445313	0.876543
16	70.415200	66.206897	0.751323	1.000000	0.675862	0.876543	0.657407	0.578125	0.421875	0.876543
17	70.242200	68.275862	0.761394	1.000000	0.693103	0.876543	0.672986	0.539063	0.460938	0.876543
18	70.934300	67.241379	0.756614	1.000000	0.682759	0.882716	0.662037	0.570313	0.429688	0.882716
19	72.145300	67.931034	0.759894	1.000000	0.686207	0.888889	0.663594	0.570313	0.429688	0.888889
20	72.404800	68.620690	0.770026	1.000000	0.693103	0.919753	0.662222	0.593750	0.406250	0.919753
21	72.923900	70.344828	0.776042	1.000000	0.703448	0.919753	0.671171	0.570313	0.429688	0.919753
22	71.712800	70.344828	0.780105	1.000000	0.710345	0.919753	0.677273	0.554688	0.445313	0.919753
23	72.231800	71.034483	0.784211	1.000000	0.717241	0.919753	0.683486	0.539063	0.460938	0.919753
24	71.885800	71.034483	0.786632	1.000000	0.713793	0.944444	0.674009	0.578125	0.421875	0.944444
25	72.577900	73.448276	0.773414	1.000000	0.741379	0.790123	0.757396	0.320313	0.679688	0.790123
26	72.664400	73.448276	0.766871	1.000000	0.737931	0.771605	0.762195	0.304688	0.695313	0.771605
27	73.183400	72.413793	0.759878	1.000000	0.727586	0.771605	0.748503	0.328125	0.671875	0.771605
28	73.269900	73.448276	0.768293	1.000000	0.737931	0.777778	0.759036	0.312500	0.687500	0.777778
29	73.615900	74.137931	0.771605	1.000000	0.744828	0.771605	0.771605	0.289063	0.710938	0.771605
30	73.442900	73.103448	0.774194	1.000000	0.734483	0.814815	0.737430	0.367188	0.632813	0.814815
29	73.615900	74.137931	max_train_acc
