,1repeat_cv_acc
0,51.65975103734441
1,51.65975103734441
2,52.282157676348554
3,52.83540802213002
4,52.4896265560166
5,52.14384508990319
6,52.35131396957124
7,53.52697095435685
8,53.18118948824343
9,53.250345781466116
10,53.7344398340249
11,54.77178423236515
12,55.325034578146614
13,56.43153526970954
14,57.12309820193637
15,56.77731673582296
16,58.09128630705395
17,59.820193637621024
18,58.09128630705395
19,60.37344398340249
20,63.00138312586445
21,63.90041493775933
22,63.554633471645914
23,65.14522821576763
24,65.49100968188105
25,67.01244813278008
26,64.17704011065007
27,65.83679114799446
28,66.39004149377593
29,65.00691562932226
