L1	L21	dst	top 30 probe index
1.000000	0.400000	0.200000	138	135	136	137	134	121	139	120	118	221	209	119	223	274	273	108	312	211	208	292	28	4759	313	220	316	3621	314	272	2141	3024
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	54.918000	52.112676	0.032520	1.000000	0.521127	0.016949	0.400000	0.022989	0.977011	0.016949
2	55.123000	52.112676	NaN	1.000000	0.521127	0.000000	0.000000	0.007663	0.992337	0.000000
3	55.327900	51.509054	0.039841	1.000000	0.515091	0.021186	0.333333	0.038314	0.961686	0.021186
4	55.327900	50.905433	0.024000	1.000000	0.509054	0.012712	0.214286	0.042146	0.957854	0.012712
5	56.147500	49.094567	0.226300	1.000000	0.490946	0.156780	0.406593	0.206897	0.793103	0.156780
6	56.147500	48.088531	0.361386	1.000000	0.480885	0.309322	0.434524	0.363985	0.636015	0.309322
7	55.737700	52.917505	0.016807	1.000000	0.529175	0.008475	1.000000	0.000000	1.000000	0.008475
8	54.918000	51.509054	0.039841	1.000000	0.515091	0.021186	0.333333	0.038314	0.961686	0.021186
9	66.598400	59.557344	0.407080	1.000000	0.595573	0.292373	0.669903	0.130268	0.869732	0.292373
10	67.008200	60.160966	0.403614	1.000000	0.601610	0.283898	0.697917	0.111111	0.888889	0.283898
11	66.598400	58.953722	0.333333	1.000000	0.589537	0.216102	0.728571	0.072797	0.927203	0.216102
12	66.598400	57.947686	0.271777	1.000000	0.579477	0.165254	0.764706	0.045977	0.954023	0.165254
13	66.188500	57.344064	0.268966	1.000000	0.573441	0.165254	0.722222	0.057471	0.942529	0.165254
14	65.778700	60.362173	0.496164	1.000000	0.603622	0.411017	0.625806	0.222222	0.777778	0.411017
15	65.778700	60.160966	0.431034	1.000000	0.601610	0.317797	0.669643	0.141762	0.858238	0.317797
16	65.163900	60.160966	0.560000	1.000000	0.601610	0.533898	0.588785	0.337165	0.662835	0.533898
17	65.573800	60.965795	0.565022	1.000000	0.609658	0.533898	0.600000	0.321839	0.678161	0.533898
18	65.573800	59.557344	0.615679	1.000000	0.595573	0.682203	0.560976	0.482759	0.517241	0.682203
19	65.573800	61.971831	0.509091	1.000000	0.619718	0.415254	0.657718	0.195402	0.804598	0.415254
20	66.188500	62.977867	0.494505	1.000000	0.629779	0.381356	0.703125	0.145594	0.854406	0.381356
21	67.623000	62.977867	0.555556	1.000000	0.629779	0.487288	0.646067	0.241379	0.758621	0.487288
22	67.623000	60.965795	0.475676	1.000000	0.609658	0.372881	0.656716	0.176245	0.823755	0.372881
23	69.672100	61.167002	0.530414	1.000000	0.611670	0.461864	0.622857	0.252874	0.747126	0.461864
24	69.057400	61.971831	0.546763	1.000000	0.619718	0.483051	0.629834	0.256705	0.743295	0.483051
25	69.877000	63.380282	0.560386	1.000000	0.633803	0.491525	0.651685	0.237548	0.762452	0.491525
26	69.262300	64.185111	0.538860	1.000000	0.641851	0.440678	0.693333	0.176245	0.823755	0.440678
27	70.082000	62.977867	0.532995	1.000000	0.629779	0.444915	0.664557	0.203065	0.796935	0.444915
28	69.467200	63.983903	0.551378	1.000000	0.639839	0.466102	0.674847	0.203065	0.796935	0.466102
29	70.082000	63.581489	0.544081	1.000000	0.635815	0.457627	0.670807	0.203065	0.796935	0.457627
30	70.082000	63.782696	0.545455	1.000000	0.637827	0.457627	0.675000	0.199234	0.800766	0.457627
27	70.082000	62.977867	max_train_acc
