L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2686	2894	1532	164	2687	154	2663	252	22	1093	2688	2175	2531	2532	1259	2541	19	2486	1519	12	33	2628	20	624	1819	1286	1389	24	2880
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	51.728907	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
2	51.590595	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
3	51.867220	0.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
4	53.181189	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
5	57.607192	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
6	59.681881	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
7	61.964039	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
8	63.831259	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
9	65.836791	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
10	67.150761	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
11	68.603043	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
12	67.358230	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
13	68.118949	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
14	70.331950	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
15	71.092669	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
16	71.645920	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
17	72.406639	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
18	72.268326	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
19	72.268326	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
20	72.544952	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
21	72.406639	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
22	72.199170	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
23	72.475795	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
24	72.060858	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NaN
25	72.959889	0.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
26	73.029046	0.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
27	72.959889	100.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
28	72.752420	100.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
29	72.821577	100.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
30	74.204703	100.000000	NaN	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NaN
30	74.204703	100.000000	max_train_acc
