L1	L21	dst	top 30 probe index
0.200000	0.600000	0.200000	2299	2894	164	19	20	1532	2686	2687	2541	24	154	252	2532	1093	2542	2531	2486	12	2628	2688	1259	1286	1519	1184	33	2175	1390	1819	1389	131
feature num	train acc	test acc	f1	auc	acc	recall	precision	FPR	TNR	TPR
1	52.162600	51.379310	0.651629	1.000000	0.520690	0.909091	0.507813	0.857143	0.142857	0.909091
2	51.903100	49.310345	0.662037	1.000000	0.496552	1.000000	0.494810	0.993197	0.006803	1.000000
3	52.076100	48.620690	0.655814	1.000000	0.489655	0.986014	0.491289	0.993197	0.006803	0.986014
4	51.903100	49.310345	0.660508	0.000000	0.493103	1.000000	0.493103	1.000000	0.000000	1.000000
5	51.989600	48.965517	0.643735	1.000000	0.500000	0.916084	0.496212	0.904762	0.095238	0.916084
6	53.546700	47.931034	0.635171	1.000000	0.520690	0.846154	0.508403	0.795918	0.204082	0.846154
7	60.294100	59.655172	0.697947	1.000000	0.644828	0.832168	0.601010	0.537415	0.462585	0.832168
8	59.775100	58.275862	0.698061	1.000000	0.624138	0.881119	0.577982	0.625850	0.374150	0.881119
9	63.062300	59.655172	0.701370	1.000000	0.624138	0.895105	0.576577	0.639456	0.360544	0.895105
10	62.110700	59.655172	0.703704	1.000000	0.613793	0.930070	0.565957	0.693878	0.306122	0.930070
11	63.667800	57.931034	0.701754	1.000000	0.589655	0.979021	0.546875	0.789116	0.210884	0.979021
12	65.743900	63.793103	0.705882	1.000000	0.655172	0.839161	0.609137	0.523810	0.476190	0.839161
13	68.425600	67.931034	0.730539	1.000000	0.689655	0.853147	0.638743	0.469388	0.530612	0.853147
14	67.993100	68.275862	0.735562	1.000000	0.700000	0.846154	0.650538	0.442177	0.557823	0.846154
15	67.647100	67.241379	0.724036	1.000000	0.679310	0.853147	0.628866	0.489796	0.510204	0.853147
16	68.944600	66.551724	0.718563	1.000000	0.675862	0.839161	0.628272	0.482993	0.517007	0.839161
17	70.588200	67.931034	0.732143	1.000000	0.689655	0.860140	0.637306	0.476190	0.523810	0.860140
18	70.242200	66.896552	0.720721	1.000000	0.679310	0.839161	0.631579	0.476190	0.523810	0.839161
19	70.588200	69.310345	0.748538	1.000000	0.703448	0.895105	0.643216	0.482993	0.517007	0.895105
20	70.155700	68.965517	0.746356	1.000000	0.700000	0.895105	0.640000	0.489796	0.510204	0.895105
